event_time,user_host,thread_id,server_id,command_type,argument
"2021-04-24 19:06:48.904265","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.022939","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.023823","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.024111","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.024946","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.036948","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.042274","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.046727","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.051695","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.055434","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.062037","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.069508","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.082388","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.096111","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.104356","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.106175","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.107487","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.108609","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.111675","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.114136","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.115333","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.116460","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.117444","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.118019","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.120228","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.123838","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.124572","root[root] @ localhost [127.0.0.1]",9,1,Query,...
"2021-04-24 19:06:49.125416","root[root] @ localhost [127.0.0.1]",9,1,Query,...
